Word	Concepticon_ID	Concepticon_Gloss	POS	Similarity
translate	2906	TRANSLATE	verb	19
feeling	2521	FEELING (HAPTIC SENSE)	noun	19
violence	2976	VIOLENCE	noun	19
shout	715	SHOUT	verb	19
abuse	1953	ABUSE	noun	19
clap	3110	CLAP	verb	19
beat	1665	BEAT	verb	19
blow	175	BLOW (OF WIND)	verb	19
hammer	1481	HAMMER	noun	19
secret	1121	SECRET	adjective	19
marsh	3688	MARSH	noun	19
mouth	674	MOUTH	noun	19
loose	2506	LOOSE	adjective	19
alive	1422	BE ALIVE	verb	19
scar	497	SCAR	noun	19
wrist	799	WRIST	noun	19
dinner	1833	DINNER (SUPPER)	noun	19
guest	1782	GUEST	noun	19
acquit	988	ACQUIT	verb	19
murder	845	MURDER	noun	19
conceal	602	HIDE (CONCEAL)	verb	19
scratch	1436	SCRATCH	verb	19
fingernail	1258	FINGERNAIL	noun	19
knit	2905	KNIT	verb	19
house	1252	HOUSE	noun	19
river	666	RIVER	noun	19
flat	1633	FLAT	adjective	19
cloak	326	CLOAK	noun	19
drown	1904	DROWN	verb	19
tale	2937	FAIRY TALE	noun	19
revenge	495	REVENGE	verb	19
false	3069	FALSE	adjective	19
wealth	2996	WEALTH	noun	19
evil	45	EVIL	adjective	19
brother	1262	BROTHER	noun	19
living	1422	BE ALIVE	verb	19
bear	1820	BEAR	noun	19
slip	1324	SLIP	verb	19
shame	1776	SHAME	noun	19
vulgar	1080	VULGAR	adjective	19
blacken	2808	BLACKEN	verb	19
coldness	1287	COLD	adjective	19
your	732	YOUR (SINGULAR)	other	19
kiss	578	KISS	verb	19
journey	2393	JOURNEY	verb	19
immediately	1963	IMMEDIATELY	other	19
village	930	VILLAGE	noun	19
climate	2426	CLIMATE	noun	19
fat	323	FAT (ORGANIC SUBSTANCE)	noun	19
match	1133	MATCH	noun	19
elbow	981	ELBOW	noun	19
shop	746	SHOP	noun	19
spoon	1378	SPOON	noun	19
surround	3274	ENCIRCLE	verb	19
elm	3317	ELM	noun	19
student	753	PUPIL (STUDENT)	noun	19
